id,type,tags,geometry,parsed_tags,has_address,has_building,geometry_parsed
25624123,node,"{'addr:postcode': '5430-403', 'capital': '7', 'name': 'Valpaços', 'name:ru': 'Валпасуш', 'place': 'city', 'population': '4012', 'population:date': '2011', 'wikidata': 'Q757856', 'wikipedia': 'pt:Valpaços'}",POINT (-7.3108525 41.6067883),"{'addr:postcode': '5430-403', 'capital': '7', 'name': 'Valpaços', 'name:ru': 'Валпасуш', 'place': 'city', 'population': '4012', 'population:date': '2011', 'wikidata': 'Q757856', 'wikipedia': 'pt:Valpaços'}",True,False,POINT (-7.3108525 41.6067883)
26860417,node,"{'access': 'customers', 'addr:city': 'Braga', 'addr:postcode': '4715-214', 'capacity:caravans': '40', 'capacity:tents': '60', 'caravans': 'yes', 'check_date': '2023-11-27', 'contact:phone': '+351 253 273 355', 'contact:website': 'https://www.cm-braga.pt/pt/1201/conhecer/alojamento/parque-de-campismo-e-pousada-da-juventude/item/item-1-859', 'email': 'parque.campismo@cm-braga.pt', 'fee': 'yes', 'name': 'Parque de Campismo e Caravanismo Municipal de Braga', 'opening_hours': '08:00-23:00', 'short_name': 'Parque de Campismo de Braga', 'tents': 'yes', 'tourism': 'camp_site'}",POINT (-8.4219647 41.5385285),"{'access': 'customers', 'addr:city': 'Braga', 'addr:postcode': '4715-214', 'capacity:caravans': '40', 'capacity:tents': '60', 'caravans': 'yes', 'check_date': '2023-11-27', 'contact:phone': '+351 253 273 355', 'contact:website': 'https://www.cm-braga.pt/pt/1201/conhecer/alojamento/parque-de-campismo-e-pousada-da-juventude/item/item-1-859', 'email': 'parque.campismo@cm-braga.pt', 'fee': 'yes', 'name': 'Parque de Campismo e Caravanismo Municipal de Braga', 'opening_hours': '08:00-23:00', 'short_name': 'Parque de Campismo de Braga', 'tents': 'yes', 'tourism': 'camp_site'}",True,False,POINT (-8.4219647 41.5385285)
31236403,node,"{'addr:postcode': '3600-011', 'name': 'Bustelo', 'place': 'hamlet'}",POINT (-7.7728608 40.9674808),"{'addr:postcode': '3600-011', 'name': 'Bustelo', 'place': 'hamlet'}",True,False,POINT (-7.7728608 40.9674808)
46756926,node,"{'addr:city': 'Faro', 'addr:postcode': '8000-133', 'addr:street': 'Largo da Estação dos Caminhos de Ferro', 'ele': '5', 'name': 'Faro', 'nat_ref': '73007', 'official_name': 'Estação Ferroviária de Faro', 'operator': 'Infraestruturas de Portugal, S.A.', 'operator:wikidata': 'Q20730106', 'operator:wikipedia': 'pt:Infraestruturas de Portugal', 'public_transport': 'station', 'railway': 'station', 'railway:position': '83.5', 'railway:ref': 'FAR', 'start_date': '1889-07-01', 'train': 'yes', 'website': 'https://www.cp.pt/passageiros/en/train-times/Stations/faro-station', 'wheelchair': 'yes', 'wikidata': 'Q8779773', 'wikipedia': 'pt:Estação Ferroviária de Faro'}",POINT (-7.940441 37.0192583),"{'addr:city': 'Faro', 'addr:postcode': '8000-133', 'addr:street': 'Largo da Estação dos Caminhos de Ferro', 'ele': '5', 'name': 'Faro', 'nat_ref': '73007', 'official_name': 'Estação Ferroviária de Faro', 'operator': 'Infraestruturas de Portugal, S.A.', 'operator:wikidata': 'Q20730106', 'operator:wikipedia': 'pt:Infraestruturas de Portugal', 'public_transport': 'station', 'railway': 'station', 'railway:position': '83.5', 'railway:ref': 'FAR', 'start_date': '1889-07-01', 'train': 'yes', 'website': 'https://www.cp.pt/passageiros/en/train-times/Stations/faro-station', 'wheelchair': 'yes', 'wikidata': 'Q8779773', 'wikipedia': 'pt:Estação Ferroviária de Faro'}",True,False,POINT (-7.940441 37.0192583)
196096846,node,"{'addr:city': 'Sesimbra', 'addr:street': 'Avenida 25 de Abril', 'amenity': 'restaurant', 'cuisine': 'regional', 'diet:meat': 'yes', 'diet:omnivore': 'yes', 'diet:pescetarian': 'yes', 'name': 'Restaurante Tisaura'}",POINT (-9.1308072 38.4483021),"{'addr:city': 'Sesimbra', 'addr:street': 'Avenida 25 de Abril', 'amenity': 'restaurant', 'cuisine': 'regional', 'diet:meat': 'yes', 'diet:omnivore': 'yes', 'diet:pescetarian': 'yes', 'name': 'Restaurante Tisaura'}",True,False,POINT (-9.1308072 38.4483021)
197571868,node,"{'addr:city': 'Sesimbra', 'addr:postcode': '2970', 'name': 'Santana', 'place': 'hamlet'}",POINT (-9.1029827 38.4613673),"{'addr:city': 'Sesimbra', 'addr:postcode': '2970', 'name': 'Santana', 'place': 'hamlet'}",True,False,POINT (-9.1029827 38.4613673)
201647177,node,"{'addr:city': 'Monchique', 'addr:postcode': '8550', 'addr:street': 'Sítio do Porto Escuro', 'amenity': 'restaurant', 'cuisine': 'regional', 'email': 'info@jardimdasoliveiras.com', 'name': 'Jardim das Oliveiras', 'operator': 'IguariaSafira, Lda', 'outdoor_seating': 'yes', 'phone': '+351 966 249 070;+351 913 081 349;+351 282 912 874', 'ref:vatin': 'PT 510 791 115', 'smoking': 'separated', 'website': 'https://www.jardimdasoliveiras.com/', 'wheelchair': 'limited'}",POINT (-8.5654756 37.3136109),"{'addr:city': 'Monchique', 'addr:postcode': '8550', 'addr:street': 'Sítio do Porto Escuro', 'amenity': 'restaurant', 'cuisine': 'regional', 'email': 'info@jardimdasoliveiras.com', 'name': 'Jardim das Oliveiras', 'operator': 'IguariaSafira, Lda', 'outdoor_seating': 'yes', 'phone': '+351 966 249 070;+351 913 081 349;+351 282 912 874', 'ref:vatin': 'PT 510 791 115', 'smoking': 'separated', 'website': 'https://www.jardimdasoliveiras.com/', 'wheelchair': 'limited'}",True,False,POINT (-8.5654756 37.3136109)
206385946,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '81-85', 'addr:postcode': '3030-175', 'addr:street': 'Rua do Brasil', 'amenity': 'restaurant', 'branch': 'Coimbra', 'contact:facebook': 'outbeco.pt', 'contact:instagram': 'outbeco.pt', 'name': 'Outbêco', 'website': 'https://outbeco.pt'}",POINT (-8.4191685 40.2004817),"{'addr:city': 'Coimbra', 'addr:housenumber': '81-85', 'addr:postcode': '3030-175', 'addr:street': 'Rua do Brasil', 'amenity': 'restaurant', 'branch': 'Coimbra', 'contact:facebook': 'outbeco.pt', 'contact:instagram': 'outbeco.pt', 'name': 'Outbêco', 'website': 'https://outbeco.pt'}",True,False,POINT (-8.4191685 40.2004817)
239717466,node,"{'addr:city': 'Soure', 'addr:postcode': '3130-000', 'addr:street': 'Cruz Nova', 'amenity': 'fuel', 'brand': 'Repsol', 'check_date': '2025-08-26', 'fuel:lpg': 'yes', 'name': 'E.S. SOURE', 'source': 'Direção-Geral de Energia e Geologia', 'source:url': 'https://precoscombustiveis.dgeg.gov.pt/'}",POINT (-8.6185533 40.0640075),"{'addr:city': 'Soure', 'addr:postcode': '3130-000', 'addr:street': 'Cruz Nova', 'amenity': 'fuel', 'brand': 'Repsol', 'check_date': '2025-08-26', 'fuel:lpg': 'yes', 'name': 'E.S. SOURE', 'source': 'Direção-Geral de Energia e Geologia', 'source:url': 'https://precoscombustiveis.dgeg.gov.pt/'}",True,False,POINT (-8.6185533 40.0640075)
250105490,node,"{'addr:city': 'Meãs', 'addr:postcode': '3220-115', 'addr:street': 'Rua Trás das Casas 29', 'amenity': 'fuel', 'check_date': '2025-08-25', 'fuel:lpg': 'yes', 'name': 'Gasodueça', 'operator': 'Gasodueça', 'source': 'Direção-Geral de Energia e Geologia', 'source:url': 'https://precoscombustiveis.dgeg.gov.pt/'}",POINT (-8.3180745 40.0830005),"{'addr:city': 'Meãs', 'addr:postcode': '3220-115', 'addr:street': 'Rua Trás das Casas 29', 'amenity': 'fuel', 'check_date': '2025-08-25', 'fuel:lpg': 'yes', 'name': 'Gasodueça', 'operator': 'Gasodueça', 'source': 'Direção-Geral de Energia e Geologia', 'source:url': 'https://precoscombustiveis.dgeg.gov.pt/'}",True,False,POINT (-8.3180745 40.0830005)
