id,type,parsed_tags,basic_complete,full_complete
25624123,node,"{'addr:postcode': '5430-403', 'capital': '7', 'name': 'Valpaços', 'name:ru': 'Валпасуш', 'place': 'city', 'population': '4012', 'population:date': '2011', 'wikidata': 'Q757856', 'wikipedia': 'pt:Valpaços'}",False,False
26860417,node,"{'access': 'customers', 'addr:city': 'Braga', 'addr:postcode': '4715-214', 'capacity:caravans': '40', 'capacity:tents': '60', 'caravans': 'yes', 'check_date': '2023-11-27', 'contact:phone': '+351 253 273 355', 'contact:website': 'https://www.cm-braga.pt/pt/1201/conhecer/alojamento/parque-de-campismo-e-pousada-da-juventude/item/item-1-859', 'email': 'parque.campismo@cm-braga.pt', 'fee': 'yes', 'name': 'Parque de Campismo e Caravanismo Municipal de Braga', 'opening_hours': '08:00-23:00', 'short_name': 'Parque de Campismo de Braga', 'tents': 'yes', 'tourism': 'camp_site'}",False,False
31236403,node,"{'addr:postcode': '3600-011', 'name': 'Bustelo', 'place': 'hamlet'}",False,False
46756926,node,"{'addr:city': 'Faro', 'addr:postcode': '8000-133', 'addr:street': 'Largo da Estação dos Caminhos de Ferro', 'ele': '5', 'name': 'Faro', 'nat_ref': '73007', 'official_name': 'Estação Ferroviária de Faro', 'operator': 'Infraestruturas de Portugal, S.A.', 'operator:wikidata': 'Q20730106', 'operator:wikipedia': 'pt:Infraestruturas de Portugal', 'public_transport': 'station', 'railway': 'station', 'railway:position': '83.5', 'railway:ref': 'FAR', 'start_date': '1889-07-01', 'train': 'yes', 'website': 'https://www.cp.pt/passageiros/en/train-times/Stations/faro-station', 'wheelchair': 'yes', 'wikidata': 'Q8779773', 'wikipedia': 'pt:Estação Ferroviária de Faro'}",False,False
196096846,node,"{'addr:city': 'Sesimbra', 'addr:street': 'Avenida 25 de Abril', 'amenity': 'restaurant', 'cuisine': 'regional', 'diet:meat': 'yes', 'diet:omnivore': 'yes', 'diet:pescetarian': 'yes', 'name': 'Restaurante Tisaura'}",False,False
197571868,node,"{'addr:city': 'Sesimbra', 'addr:postcode': '2970', 'name': 'Santana', 'place': 'hamlet'}",False,False
201647177,node,"{'addr:city': 'Monchique', 'addr:postcode': '8550', 'addr:street': 'Sítio do Porto Escuro', 'amenity': 'restaurant', 'cuisine': 'regional', 'email': 'info@jardimdasoliveiras.com', 'name': 'Jardim das Oliveiras', 'operator': 'IguariaSafira, Lda', 'outdoor_seating': 'yes', 'phone': '+351 966 249 070;+351 913 081 349;+351 282 912 874', 'ref:vatin': 'PT 510 791 115', 'smoking': 'separated', 'website': 'https://www.jardimdasoliveiras.com/', 'wheelchair': 'limited'}",False,False
206385946,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '81-85', 'addr:postcode': '3030-175', 'addr:street': 'Rua do Brasil', 'amenity': 'restaurant', 'branch': 'Coimbra', 'contact:facebook': 'outbeco.pt', 'contact:instagram': 'outbeco.pt', 'name': 'Outbêco', 'website': 'https://outbeco.pt'}",True,True
239717466,node,"{'addr:city': 'Soure', 'addr:postcode': '3130-000', 'addr:street': 'Cruz Nova', 'amenity': 'fuel', 'brand': 'Repsol', 'check_date': '2025-08-26', 'fuel:lpg': 'yes', 'name': 'E.S. SOURE', 'source': 'Direção-Geral de Energia e Geologia', 'source:url': 'https://precoscombustiveis.dgeg.gov.pt/'}",False,False
250105490,node,"{'addr:city': 'Meãs', 'addr:postcode': '3220-115', 'addr:street': 'Rua Trás das Casas 29', 'amenity': 'fuel', 'check_date': '2025-08-25', 'fuel:lpg': 'yes', 'name': 'Gasodueça', 'operator': 'Gasodueça', 'source': 'Direção-Geral de Energia e Geologia', 'source:url': 'https://precoscombustiveis.dgeg.gov.pt/'}",False,False
250105863,node,"{'addr:city': 'Miranda do Corvo', 'addr:postcode': '3220-209', 'addr:street': 'Rua do Cruzeiro', 'amenity': 'pharmacy', 'name': 'Farmácia Lima Natário', 'phone': '+351 239532080'}",False,False
251572920,node,"{'addr:city': 'Coimbra', 'addr:hamlet': 'Urbanização Quinta Dom João', 'addr:housenumber': 'Lote 9', 'addr:postcode': '3030-020', 'addr:street': 'Praça Mestre Pero', 'amenity': 'cafe', 'contact:facebook': 'cafedomjoao', 'name': 'Café Dom João', 'opening_hours': 'Mo-Sa 08:00-02:00', 'phone': '+351 239 193 353'}",True,True
251572927,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '24', 'addr:postcode': '3030-020', 'addr:street': 'Praça Mestre Pero', 'contact:facebook': 'higiprev', 'contact:instagram': 'higiprevlda', 'description': 'Empresa de Prestação de Serviços Externos na área de Segurança e Saúde no Trabalho, Higiene e Segurança Alimentar, Controlo de Pragas e Formação', 'name': 'Higiprev', 'office': 'company', 'phone': '+351 239 717 787', 'website': 'https://higiprev.wixsite.com/higiprev'}",True,True
251572995,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '93', 'addr:postcode': '3030', 'addr:street': 'Rua do Brasil', 'disused:amenity': 'restaurant', 'disused:name': 'Cantinho dos Grelhados', 'shop': 'vacant'}",True,True
251574333,node,"{'addr:housenumber': '63', 'addr:postcode': '3030-175', 'addr:street': 'Rua do Brasil', 'amenity': 'pub', 'contact:facebook': 'petisqueira.seminario', 'cuisine': 'regional', 'name': 'Seminário', 'opening_hours': 'Mo-Sa 11:00-00:00', 'phone': '+351 917 557 082'}",True,False
251607375,node,"{'addr:city': 'Coimbra', 'addr:hamlet': 'Quinta de Dom João', 'addr:housenumber': 'Lote 10', 'addr:postcode': '3030-413', 'addr:street': 'Praça Mestre Pero', 'amenity': 'cafe', 'cuisine': 'coffee_shop;regional', 'name': 'Tasquinha do João', 'opening_hours': 'Mo-Fr 09:00-23:00; Sa 09:00-15:00', 'outdoor_seating': 'yes', 'phone': '+351 239 402 100', 'website': 'tasquinhadojoao.eatbu.com'}",True,True
251634933,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '56', 'addr:postcode': '3030-175', 'addr:street': 'Rua do Brasil', 'amenity': 'restaurant', 'name': 'Francesinhas & Cª'}",True,True
251898013,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '4', 'addr:postcode': '3030-059', 'addr:street': 'Rua Daniel de Matos', 'amenity': 'cafe', 'contact:facebook': 'Café-Esquininha-177821126001927', 'cuisine': 'regional', 'name': 'Esquininha', 'opening_hours': 'Mo-Sa 12:00-02:00;Su 15:00-23:45', 'phone': '+351 239 780 068'}",True,True
251900607,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '28', 'addr:postcode': '3030-049', 'addr:street': 'Rua Daniel de Matos', 'amenity': 'cafe', 'contact:facebook': 'cafemonacocoimbra', 'contact:instagram': 'cafemonacocoimbra', 'name': 'Mónaco', 'opening_hours': 'Mo-Th, Su 12:00-00:00; Fr, Sa 12:00-02:00', 'phone': '+351 239 403 206'}",True,True
251902237,node,"{'addr:housenumber': '86', 'addr:street': 'Rua Daniel de Matos', 'amenity': 'cafe', 'check_date': '2022-09-27', 'contact:facebook': 'tettriscafe', 'cuisine': 'regional;tapas;sandwich', 'internet_access': 'wlan', 'internet_access:fee': 'customers', 'name': 'Tettris', 'opening_hours': 'Mo-Fr 08:00-02:00; Su 09:00-02:00', 'outdoor_seating': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'payment:mastercard': 'yes', 'payment:visa': 'yes', 'phone': '+351 239 405 071', 'wheelchair': 'no'}",True,False
251908676,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '168', 'addr:postcode': '3030-996', 'addr:street': 'Rua Paulo Quintela', 'amenity': 'post_office', 'branch': 'Loja Vale das Flores', 'name': 'Loja CTT', 'opening_hours': 'Mo-Fr 09:00-18:00', 'phone': '+351 210 471 616'}",True,True
252015614,node,"{'addr:city': 'Coimbra', 'addr:housenumber': '70', 'addr:street': 'Rua do Brasil', 'amenity': 'pharmacy', 'name': 'Farmácia Rocha', 'phone': '+351 239 711 526'}",True,False
252024620,node,"{'addr:city': 'Coimbra', 'addr:floor': '0', 'addr:housenumber': '23', 'addr:postcode': '3030-182', 'addr:street': 'Travessa dos Combatentes da Grande Guerra', 'branch': 'Coimbra - Combatentes', 'brand': 'Pingo Doce', 'brand:wikidata': 'Q1575057', 'brand:wikipedia': 'pt:Pingo Doce', 'check_date': '2022-07-02', 'contact:facebook': 'pingodoce', 'contact:instagram': 'pingodoce', 'contact:linkedin': 'https://www.linkedin.com/company/pingo-doce', 'contact:phone': '+351 938 875 323', 'contact:tiktok': 'pingodoce', 'contact:youtube': 'pingodocept', 'level': '0', 'name': 'Pingo Doce', 'opening_hours': 'Mo-Su 08:00-21:00; easter 08:00-14:00', 'payment:coins': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'payment:mastercard': 'yes', 'payment:notes': 'yes', 'payment:visa': 'yes', 'ref': '323', 'shop': 'supermarket', 'source:contact': 'website', 'source:opening_hours': 'website', 'website': 'https://www.pingodoce.pt/lojas/coimbra-combatentes/'}",True,True
252520300,node,"{'addr:housenumber': '3', 'addr:postcode': '3000-186', 'addr:street': 'Rua Augusto Filipe Simões', 'amenity': 'pub', 'check_date': '2022-12-19', 'contact:facebook': 'tabernacasacosta', 'cuisine': 'regional', 'name': 'Taberna Casa Costa', 'opening_hours': 'Mo-Fr, Su 07:00-00:00', 'outdoor_seating': 'yes', 'phone': '+351 239 717 739', 'website': 'https://www.restaurantetabernacasacosta.pt/'}",True,False
252652559,node,"{'addr:city': 'Eiras', 'addr:housenumber': '2', 'addr:street': 'Rua da Cruz Nova', 'amenity': 'pharmacy', 'name': 'Farmácia Barros', 'phone': '+351 239431643', 'wheelchair': 'yes'}",True,False
253226435,node,"{'addr:city': 'Miranda do Corvo', 'addr:housenumber': '34', 'addr:postcode': '3220-205', 'addr:street': 'R. João Paulo II', 'brand': 'Auchan', 'brand:wikidata': 'Q758603', 'name': 'Auchan', 'shop': 'supermarket'}",True,True
