address_1,address_2,label
"Rua Viana da Mota, 10","Rua Bouca, 8, 4630-016, Avessadas",0
"Cc Ribeiro, 13, 4575-046, Alpendurada E Matos","cc ribeiro, 13, 4575-046, alpendurada e matos",1
"Conde da Ericeira, 16, 6200, Covilhã e Canhoso","Rua Doutor Brito Camacho, 26, 7830-220, Pias",0
"Rua das Escolas, 94, Vimieiro ARL","Rua da Pinheira, 3, 8700-071, Moncarapacho",0
"Rua do Norte, 77, 7630-125, Odemira","Esplanada do Castelo, 63",0
"Rua Zeca Afonso, 5, 7750-102, Corte do Pinto","r. zeca afonso, 5, 7750-102, corte do pinto",1
"Rua da Escola, 38, 2080-701, Raposa","Rua Gonçalves Zarco, 3",0
"Alameda das Linhas de Torres, 124","Rua do Paço, 20, 2080-109, Almeirim",0
"Rua das Figueiras, 3, 7425-015, Horta Velha","Travessa Centro Cívico, 2, 9200-032",0
"Rua Guilherme Gomes Fernandes, 11, 7300-186, Portalegre","Rua do Pombal, 24, 7800-694, Salvada",0
"Rua Central Senhor Reis do Fidalgo, 294, Travanca","Bairro Abibes, 27, 7100-014, Arcos",0
"Rua Doutor Álvaro Sousa Rego, 45, 7005-107, Azaruja","r. doutor álvaro sousa rego, 45, 7005-107, azaruja",1
"Rua Do Poço, 33, 7800-693, Salvada","r. do poço, 33, 7800-693, salvada",1
"Cc Nogueiras, 95, 4625-338, Penha Longa","cc nogueiras, 95, 4625-338, penha longa",1
"Rua Serpa Pinto, 41, 7860-069, Moura","r. serpa pinto, 41, 7860-069, moura",1
"Rua dos Correeiros, 154","Rua Dom Jorge da Costa, 3A, 1400-423, Lisboa",0
"Rua Pinto de Melo, 60, 7920-390, Vila Nova da Baronia","Rua Forno, 1, 6320-271",0
"Rua Vasco da Gama, 13, 7565-071, Alvalade","Rua de Pádua Correia, 73, Vila Nova de Gaia",0
"Rua Doutor Manuel D'Arriaga, 32, 7480-139, Avis","Rua das Escolas, 94, Vimieiro ARL",0
"Rua Doutor Brito Camacho, 26, 7830-220, Pias","Rua Doutor Torrão Santos, 24, 2080-123, Almeirim",0
"Rua Hintze Ribeiro, 20","r. hintze ribeiro, 20",1
"Rua de Testour, 4, 7830-479, Serpa","Beco Salao, 30, 9020-058",0
"Rua Pedro Franco, 18","r. pedro franco, 18",1
"Rua Dom Nuno Álvares Pereira, 166, 7570-239, Grândola","Rua de Cabinda, 41, 2100-376, Santa Justa",0
"Rua de Cabinda, 41, 2100-376, Santa Justa","Rua Três Bicas, 20, 6320-271",0
"Rua 5 De Outubro, 28, 9000-079","Rua Doutor Manuel D'Arriaga, 32, 7480-139, Avis",0
"Estrada Nacional 18, 32, 7005-863, Évora","Rua da República, 84, 7040-402, Carrascal",0
"Praceta Sociedade Arqueologia Lusitania, 11, 2910-675, Setúbal","Esplanada do Castelo, 63",0
"Rua Nova de Santa Cruz, 11, 4710-409, Braga","r. nova de santa cruz, 11, 4710-409, braga",1
"Rua Nova, 5, 7240-012, Granja","r. nova, 5, 7240-012, granja",1
"Rua da Lagartixa, 222, 7500-110, Vila Nova de Santo André","r. da lagartixa, 222, 7500-110, vila nova de santo andré",1
"Rua das Figueiras, 3, 7425-015, Horta Velha","r. das figueiras, 3, 7425-015, horta velha",1
"Rua Nova, 5, 7240-012, Granja","Rua Nova de Santa Cruz, 11, 4710-409, Braga",0
"Cc Alto Das Perdizes, 27, 4635-693, Vila Boa De Quires","cc alto das perdizes, 27, 4635-693, vila boa de quires",1
"Estrada Visc Cacongo, 10 A, 9060-007","estrada visc cacongo, 10 a, 9060-007",1
"Rua de Santo António, 53, 7470-032, Cano","Rua Marquês da Praia e Monfort, 6",0
"Estrada Principal, 568, 2040-155, Fráguas RMR","Rua Nova, 5, 7240-012, Granja",0
"Rua Forno, 1, 6320-271","r. forno, 1, 6320-271",1
"Rua do Lavadouro, 21, 7440-201, Chancelaria","r. do lavadouro, 21, 7440-201, chancelaria",1
"Rua dos Combatentes da Grande Guerra, 14, 6050-338, Nisa","r. dos combatentes da grande guerra, 14, 6050-338, nisa",1
