Listagem dos Municípios portugueses: websites e histórico de versões no Arquivo.pt - 15-06-2021,,,,,,,,,,,,,,,,
"Fonte: Associação Nacional de Municípios Portugueses, Portal Autárquico – Direção-Geral das Autarquias Locais",,,,,,,,,,,,,,,,
Distrito,Município,Endereço (URL) do Website - online na Web,"URL - endereço para histórico
 de versões no Arquivo.pt","Município com link para histórico de
versões no Arquivo.pt ",Municípios no Facebook (geralmente fora do âmbito das recolhas do Arquivo.pt),,,,,,,,,,,
AÇORES,Angra do Heroísmo,https://angradoheroismo.pt/,https://arquivo.pt/wayback/https://angradoheroismo.pt/,Angra do Heroísmo,https://www.facebook.com/cmangradoheroismo/,,,,,,,,,,,
AÇORES,Calheta (Açores),http://www.cm-calheta.pt,https://arquivo.pt/wayback/http://www.cm-calheta.pt,Calheta (Açores),https://www.facebook.com/municipiodacalheta/,,,,,,,,,,,
AÇORES,Corvo,http://www.cm-corvo.pt,https://arquivo.pt/wayback/http://www.cm-corvo.pt,Corvo,,,,,,,,,,,,
AÇORES,Horta,http://www.cmhorta.pt,https://arquivo.pt/wayback/http://www.cmhorta.pt,Horta,https://www.facebook.com/municipiohorta/,,,,,,,,,,,
AÇORES,Lagoa (Açores),http://www.lagoa-acores.pt,https://arquivo.pt/wayback/http://www.lagoa-acores.pt,Lagoa (Açores),https://www.facebook.com/Câmara-Municipal-de-Lagoa-Açores-201265370077248/,,,,,,,,,,,
AÇORES,Lajes das Flores,http://www.cmlajesdasflores.pt/,https://arquivo.pt/wayback/http://www.cmlajesdasflores.pt/,Lajes das Flores,,,,,,,,,,,,
AÇORES,Lajes do Pico,http://www.cm-lajesdopico.pt/,https://arquivo.pt/wayback/http://www.cm-lajesdopico.pt/,Lajes do Pico,https://www.facebook.com/cmlajesdopico/,,,,,,,,,,,
AÇORES,Madalena,http://www.cm-madalena.pt,https://arquivo.pt/wayback/http://www.cm-madalena.pt,Madalena,https://www.facebook.com/Câmara-Municipal-da-Madalena-158913620925764/,,,,,,,,,,,
AÇORES,Nordeste,http://www.cmnordeste.pt,https://arquivo.pt/wayback/http://www.cmnordeste.pt,Nordeste,https://www.facebook.com/camaramunicipalnordeste/,,,,,,,,,,,
AÇORES,Ponta Delgada,www.cm-pontadelgada.pt,https://arquivo.pt/wayback/www.cm-pontadelgada.pt,Ponta Delgada,https://www.facebook.com/cmpontadelgada/,,,,,,,,,,,
AÇORES,Povoação,http://www.cm-povoacao.pt,https://arquivo.pt/wayback/http://www.cm-povoacao.pt,Povoação,https://www.facebook.com/municipiodapovoacao/,,,,,,,,,,,
AÇORES,Praia da Vitória,http://www.cmpv.pt,https://arquivo.pt/wayback/http://www.cmpv.pt,Praia da Vitória,https://www.facebook.com/MunicipioPraiaVitoria/,,,,,,,,,,,
AÇORES,Ribeira Grande,http://www.cm-ribeiragrande.pt,https://arquivo.pt/wayback/http://www.cm-ribeiragrande.pt,Ribeira Grande,https://www.facebook.com/cmribeiragrd/,,,,,,,,,,,
AÇORES,Santa Cruz da Graciosa,http://www.cm-graciosa.pt,https://arquivo.pt/wayback/http://www.cm-graciosa.pt,Santa Cruz da Graciosa,https://www.facebook.com/mscgraciosa/,,,,,,,,,,,
AÇORES,Santa Cruz das Flores,http://cm-santacruzdasflores.azoresdigital.pt,https://arquivo.pt/wayback/http://cm-santacruzdasflores.azoresdigital.pt,Santa Cruz das Flores,https://www.facebook.com/cmscflores/,,,,,,,,,,,
AÇORES,São Roque do Pico,http://cm-saoroquedopico.pt/,https://arquivo.pt/wayback/http://cm-saoroquedopico.pt/,São Roque do Pico,https://www.facebook.com/municipiosrp/,,,,,,,,,,,
AÇORES,Velas,http://cmvelas.pt,https://arquivo.pt/wayback/http://cmvelas.pt,Velas,https://www.facebook.com/municipiovelas/,,,,,,,,,,,
AÇORES,Vila do Porto,http://www.cm-viladoporto.pt,https://arquivo.pt/wayback/http://www.cm-viladoporto.pt,Vila do Porto,https://www.facebook.com/municipioviladoporto/,,,,,,,,,,,
AÇORES,Vila Franca do Campo,http://www.cmvfc.pt,https://arquivo.pt/wayback/http://www.cmvfc.pt,Vila Franca do Campo,https://www.facebook.com/CamaraMunicipalDeVilaFrancaDoCampo/,,,,,,,,,,,
