address_1,address_2,label,similarity,predicted
"Rua João Ricardo Ferreira César, 7 A, Câmara de Lobos, 9300-076","Rua João Ricardo Ferreira César, 7 A, 9300-076",1,0.0,0
"Rua da Ribeira Pequena, 12, Castelo Branco, 9900-330","r da ribeira pequena, 12, Castelo Branco",1,0.0,0
"Rua da Cozinha de Sua Alteza, 9, Évora, 7000-856","Rua da Cozinha de Sua Alteza, 9, 7000-856",1,0.0,0
"Rua Doutor José Nunes, 10, Portalegre, 7300-550","Rua Doutor José Nunes, 10, Portalegre",1,0.0,0
"Rua Almocreva, 5, Penedo Gordo, 7800-352","r almocrva, 5, Penedo Gordo",1,0.0,0
"Rua de Santa Maria Madalena, 2, Alcobertas, 2040-011","Rua de Santa Maria Madalena, 2, Alcobertas",1,0.0,0
"Rua Adriano Rovisco dos Santos, 33, Casa Branca, 7470-117","Rua Adriano Rovisco dos Santos, 33, 7470-117",1,0.0,0
"Travessa dos Proletários, 12, Peniche, 2520-540","Travessa dos Proletários, 12, 2520-540",1,0.0,0
"Loteamento da Cerca da Teimosa, 50, São Luís, 7630-500","Loteamento da Cerca da Teimosa, 50, 7630-500",1,0.0,0
"Ramal Beja, 4, Aljustrel, 7600-073","Ramal Beja, 4, 7600-073",1,0.0,0
"Tv Mário Santos, Alpendurada E Matos, 4575-029","Tv Mário Santos, Alpendurada E Matos",1,0.0,0
"Tv Fonte Nova, 282, Vila Boa De Quires, 4635-667","tv fonte osva, 282, Vila Boa De Quires, 4635-667",1,0.0,0
"Rua Miguel Bombarda, 76, Fuzeta, 8700-037","rwua miguel bombarqda, 76, Fuzeta",1,0.0,0
"Rua de Cucujães, 543, São João da Madeira, 3700-096","de r cucujães, 543, São João da Madeira",1,0.0,0
"Rua 25 de Abril, 77, Cruz de Pau, 2845-137","Rua 25 de Abril, 77, 2845-137",1,0.0,0
"Rua Miguel Bombarda, 10, Vila Real, 5000-625","r miugelbombarda, 10, Vila Real, 5000-625",1,0.0,0
"Rua Nova do Parreiral, 28, Sousel, 7470-265","Rua Nova do Parreiral, 28, 7470-265",1,0.0,0
"Rua da Lagoa, 6, Selmes, 7960-161","riua dalagoa, 6, Selmes, 7960-161",1,0.0,0
"Rua 25 de Abril, 13, Amareleja, 7885-025","Rua 25 de Abril, 13, 7885-025",1,0.0,0
"Rua Joaquim Pedro Matos, 49, Cabrela, 7050-423","r jaoquim pedro matos, 49, Cabrela, 7050-423",1,0.0,0
"Rua de Regadas, 13, Ribeirão, 4760-723","r de regdaas, 13, Ribeirão",1,0.0,0
"Rua 25 de Abril, 3, Pereiras-Gare, 7665-881","ra 25 de avbril, 3, Pereiras-Gare, 7665-881",1,0.0,0
"Rua Palheiros, 73, Calheta, 9370-054","r palheiros, 73, Calheta, 9370-054",1,0.0,0
"Rua Capitão Manuel Baptista Marçal, 39, Santa Luzia, 8800-545","r capitão manel baptista marçal, 39, Santa Luzia",1,0.0,0
"Rua da Estação, Rio de Moinhos, 7150-368","r da estação, Rio de Moinhos",1,0.0,0
"Beco Pomar, 13, Funchal, 9060-242","beco pomar, 13, Funchal",1,0.0,0
"Estrada da Santíssima Trindade, 24, Tabua, 9350-412","estrada trindade sanktíssima da, 24, Tabua",1,0.0,0
"Praça da India, 3, Santa Clara-a-Velha, 7665-880","Praça da India, 3, Santa Clara-a-Velha",1,0.0,0
"Rua Marquês de Pombal, 15, Alcácer do Sal, 7580-166","r marquês de opmbal, 15, Alcácer do Sal, 7580-166",1,0.0,0
"Rua de Moçambique, 6A, Reguengos de Monsaraz, 7200-351","Rua de Moçambique, 6A, Reguengos de Monsaraz",1,0.0,0
"Rua Teófilo Saguer, 32, Grândola, 7570-311","ru ateófilo saguer, 32, Grândola",1,0.0,0
"Estrada Pipa, 9, Pias, 7830-287","estrada pipa, 9, Pias",1,0.0,0
"Rua Quinta de São Pedro, 8, Quinta da Marialva","r quinta de são pedro, 8, Quinta da Marialva",1,0.0,0
"Rua Particular à Rua Cima de Fanares, 1, MEM MARTINS, 2725-412","r particular à rua cima de fanares, 1, MEM MARTINS",1,0.0,0
"Rua da Culatra, 50, Olhão, 8700-391","culatra daa ru, 50, Olhão",1,0.0,0
"Rua Aquilino Ribeiro, 25, Grândola, 7570-188","rbieiro aquilino r, 25, Grândola",1,0.0,0
"Rua das Alcaçarias, 23A, Évora, 7000-587","Rua das Alcaçarias, 23A, 7000-587",1,0.0,0
"Rua do Poço, 12, Seda, 7440-225","ru advo poço, 12, Seda, 7440-225",1,0.0,0
"Rua Doutor Alves Durão, 13, São Marcos do Campo, 7200-072","Rua Doutor Alves Durão, 13, São Marcos do Campo",1,0.0,0
"Avenida Dom José I, 71, Amadora, 2720-177","av bdom joés i, 71, Amadora, 2720-177",1,0.0,0
"Rua do Roluto, 13, Fortios, 7300-677","do r roltuo, 13, Fortios",1,0.0,0
"Caminho Breja de Cima, 18, Bunheiro, 3870-013","Caminho Breja de Cima, 18, Bunheiro",1,0.0,0
"Rua Acácio Guerreiro de Melo, 7, Cercal do Alentejo, 7555-109","Rua Acácio Guerreiro de Melo, 7, Cercal do Alentejo",1,0.0,0
"Rua Elias Garcia, 32, Cabeção, 7490-095","Rua Elias Garcia, 32, 7490-095",1,0.0,0
"Largo da Calçadinha, 17, Nossa Senhora da Graça de Póvoa e Meadas, 7320-011","largo da calaçdinha, 17, Nossa Senhora da Graça de Póvoa e Meadas",1,0.0,0
"Estrada João Gonçalves Zarco, 472, Câmara de Lobos, 9300-167","Estrada João Gonçalves Zarco, 472, 9300-167",1,0.0,0
"Rua do Pocinho, 2, Ervidel, 7600-233","popcinho do r, 2, Ervidel",1,0.0,0
"Rua Jacob Azambuja, 56, Setúbal, 2910-535","azabmuja jacob r, 56, Setúbal",1,0.0,0
"Rua Central, 31, Valpaços, 5445-084","r czntral, 31, Valpaços",1,0.0,0
