address_1,address_2,label,similarity,predicted
"Travessa Professor Manuel Borges de Azevedo, 83, são Mamede de Infesta, 4465-357","Travessa Professor Manuel Borges de Azevedo, 71, São Mamede de Infesta, 4465-357",0,1.0,1
"Rua da Liberdade, 6, Vale de Cavalos, 7300-335","Rua Porto dos Castelhanos, 5, Vale de Cavalos, 7300-335",0,0.5,1
"Rua da Boavista, 5, Alcaria da Serra, 7960-114","Rua Curta, 1, Alcaria da Serra, 7960-118",0,0.5,1
"Rua Doutor Couto Jardim, 158, Ciladas (São Romão), 7160-130","Rua D, Ciladas (São Romão), 7160-120",0,0.5,1
"Rua 25 de Abril, 77, Cruz de Pau, 2845-137","Rua 25 de Abril, 77, 2845-137",1,0.3333333333333333,0
"Travessa da Rua do Bernardino, 3, Montalvão, 6050-431","Rua do Bernardino, 8, Montalvão, 6050-431",0,0.6666666666666666,1
"Rua Miguel Bombarda, 10, Vila Real, 5000-625","r miugelbombarda, 10, Vila Real, 5000-625",1,0.0,0
"Rua da Lagoa, 6, Selmes, 7960-161","riua dalagoa, 6, Selmes, 7960-161",1,0.25,0
"Rua Monte Forca, N 65, Vila Boa De Quires, 4635-751","Rua Monte Da Forca, 46, Vila Boa De Quires, 4635-751",0,1.0,1
"Avenida Bento Gonçalves, 21B, Setúbal, 2910-433","Avenida Bento Gonçalves, 130, Barreiro, 2830-333",0,0.6666666666666666,1
"Estr. de Benfica, 654, Lisboa, 1500-109","Estrada de Benfica, 422, Lisboa, 1500-102",0,0.5,1
"Rua Garibaldino Andrade, Foros do Arrão de Baixo, 7425-208","Rua 19 de Maio, 16, Foros do Arrão de Baixo, 7425-224",0,0.5,1
"Travessa nº 2 da Fonte da Preguica, 20, Coimbra, 3045-167","Travessa nº 2 da Fonte da Preguiça, 14, Coimbra, 3045-410",0,1.0,1
"Cais de São Roque, 76A, Aveiro, 3800-256","Cais de São Roque, Glória e Vera Cruz, 3810-256",0,0.5,1
"Rua Doutor Vitorino de Sá, 2, Santa Maria da Feira","Largo de Camões, 35, Santa Maria da Feira",0,0.5,1
"Estrada Marmeleiros, 114 A, Funchal, 9050-209","Estrada dos Marmeleiros, Funchal, 9000",0,1.0,1
"Caminho Lombada Dos Marinheiros, 6, Calheta, 9370-380","Caminho Lombada Marinheiros, 1, Calheta, 9370-380",0,1.0,1
"R Barragem, 970, Torrão Mcn, 4575-322","R S Clara Do Torrao, 429, Torrão Mcn, 4575-337",0,0.5,1
"EN261-2, 11, Melides","Estrada Nacional 261-2, 8, Melides, 7570-610",0,0.5,1
"Rua 18 de Julho de 1634, 36, Figueira da Foz, 3080-437","Rua do Mar, Figueira da Foz, 3090-880",0,0.5,1
"Estrada Monumental 456-5, Funchal, 9000-250","Estrada Monumental, 194, Funchal",0,1.0,1
"Rua do Pocinho, 2, Ervidel, 7600-233","popcinho do r, 2, Ervidel",1,0.3333333333333333,0
"Rua Jacob Azambuja, 56, Setúbal, 2910-535","azabmuja jacob r, 56, Setúbal",1,0.3333333333333333,0
"Rua Praça da Liberadde, 1, Castro Verde, 7780-286","Praça Municipio, 1, Castro Verde, 7780-217",0,0.5,1
"Rua Comandante Matoso, 76, Sagres, 8650-357","Rua Comandante Matoso, 4, Vila do Bispo, 8650-413",0,0.5,1
"Estrada Eira Serrado, 41 B, Funchal, 9020-156","Estrada Eira Do Serrado, 58, Funchal, 9020-156",0,1.0,1
"Travessa Mirante, 8, Setúbal, 2910-610","Travessa do Mirante, 21, Setúbal, 2910-610",0,1.0,1
"Vereda Fonte Da Escadinha, 1, Calheta, 9370-722","Vereda Fonte, 3, Calheta, 9370-060",0,0.75,1
"Travessa do Monteco, 5, São Pedro do Corval, 7200-107","Rua do Poço, 2, São Pedro do Corval, 7200-137",0,0.5,1
"Bairro Oriental, LT 23, Ermidas-Sado, 7565-258","Rua Oriental do Pomarinho, 10, Ermidas-Sado, 7565-211",0,0.5,1
"Praceta das Tílias, 65, Maia, 4470-379","Praceta das Acácias, 27, Maia, 4470-223",0,0.5,1
"Rua do Depósito de Água, 4, São Sebastião, 2040-494","Rua do Depósito de Água, 13, S. Sebastião, 2040-494",0,0.75,1
"Largo São Sebastião, 3, Vimioso, 5230-311","Largo São Sebastião, 18, Faro, 8000-155",0,0.6666666666666666,1
"Cam Picao, 27, Vila Boa Do Bispo, 4625-680","Cam Quebrada De Cima, 183, Vila Boa Do Bispo, 4625-617",0,0.6,1
"Rua da Independência, 14, Águas de Moura, 2965-574","Rua da Independência, 14, 2965-574",1,0.3333333333333333,0
"Rua do Termo, Lomba da Fazenda, 9630-122","Rua do Teatro, Lomba da Fazenda, 9630-086",0,0.5,1
