address_1,address_2,label
"Travessa Professor Manuel Borges de Azevedo, 83, são Mamede de Infesta, 4465-357","Travessa Professor Manuel Borges de Azevedo, 71, São Mamede de Infesta, 4465-357",0
"Rua João Ricardo Ferreira César, 7 A, Câmara de Lobos, 9300-076","Rua João Ricardo Ferreira César, 7 A, 9300-076",1
"Rua da Ribeira Pequena, 12, Castelo Branco, 9900-330","r da ribeira pequena, 12, Castelo Branco",1
"Rua da Cozinha de Sua Alteza, 9, Évora, 7000-856","Rua da Cozinha de Sua Alteza, 9, 7000-856",1
"Rua das Camélias, 3, Peniche, 2520-343","Rua das Camélias, Vila do Conde, 4480-765",0
"Rua da Liberdade, 6, Vale de Cavalos, 7300-335","Rua Porto dos Castelhanos, 5, Vale de Cavalos, 7300-335",0
"Rua de Angola, 71, Maia, 4470-239","Rua Engenheiro Duarte Pacheco, Maia, 4470-202",0
"Rua Doutor José Nunes, 10, Portalegre, 7300-550","Rua Doutor José Nunes, 10, Portalegre",1
"Rua Almocreva, 5, Penedo Gordo, 7800-352","r almocrva, 5, Penedo Gordo",1
"Rua de Santa Maria Madalena, 2, Alcobertas, 2040-011","Rua de Santa Maria Madalena, 2, Alcobertas",1
"R Barroca, 1, Vila Caiz, 4600-789","R Barroca, 49, Constance, 4635-083",0
"Rua Adriano Rovisco dos Santos, 33, Casa Branca, 7470-117","Rua Adriano Rovisco dos Santos, 33, 7470-117",1
"Rua da Boavista, 5, Alcaria da Serra, 7960-114","Rua Curta, 1, Alcaria da Serra, 7960-118",0
"Travessa dos Proletários, 12, Peniche, 2520-540","Travessa dos Proletários, 12, 2520-540",1
"Travessa do Ministério do Exército, 1;3, Sintra, 2745-179","Rua do Paço, 20, Sintra, 2710-602",0
"Loteamento da Cerca da Teimosa, 50, São Luís, 7630-500","Loteamento da Cerca da Teimosa, 50, 7630-500",1
"Ramal Beja, 4, Aljustrel, 7600-073","Ramal Beja, 4, 7600-073",1
"Tv Mário Santos, Alpendurada E Matos, 4575-029","Tv Mário Santos, Alpendurada E Matos",1
"R Goivinhas, 33, Sande Mcn, 4625-493","R Goivinhas, 36, Penha Longa, 4625-378",0
"Rua Doutor Couto Jardim, 158, Ciladas (São Romão), 7160-130","Rua D, Ciladas (São Romão), 7160-120",0
"Tv Fonte Nova, 282, Vila Boa De Quires, 4635-667","tv fonte osva, 282, Vila Boa De Quires, 4635-667",1
