address_1,address_2,label,address_1_road,address_1_house_number,address_1_city,address_1_postcode,address_1_normalized,address_2_road,address_2_house_number,address_2_city,address_2_postcode,address_2_normalized,ner_gpe_similarity,ner_loc_similarity,ner_misc_similarity,ner_person_similarity,ner_org_similarity,ner_overall_entity_similarity,ner_road_gpe_similarity,ner_road_loc_similarity,ner_road_misc_similarity,ner_road_person_similarity,ner_road_org_similarity,ner_road_overall_entity_similarity,ner_city_gpe_similarity,ner_city_loc_similarity,ner_city_misc_similarity,ner_city_person_similarity,ner_city_org_similarity,ner_city_overall_entity_similarity,ner_normalized_gpe_similarity,ner_normalized_loc_similarity,ner_normalized_misc_similarity,ner_normalized_person_similarity,ner_normalized_org_similarity,ner_normalized_overall_entity_similarity,ner_countries_hierarchy_similarity,ner_regions_hierarchy_similarity,ner_cities_hierarchy_similarity,ner_streets_hierarchy_similarity,ner_districts_hierarchy_similarity,ner_address1_total_entities,ner_address2_total_entities,ner_address1_unique_entities,ner_address2_unique_entities,ner_entity_count_difference,ner_shared_entity_count,ner_has_geographic_entities,ner_both_have_entities,phase2_jaro_winkler_score,phase2_levenshtein_score,phase2_jaccard_score,phase2_hybrid_avg,phase2_weighted_combo,comp_road_similarity,comp_road_exact_match,comp_house_number_similarity,comp_house_number_exact_match,comp_city_similarity,comp_city_exact_match,comp_postcode_similarity,comp_postcode_exact_match,comp_normalized_similarity,comp_normalized_exact_match,comp_avg_similarity,comp_max_similarity,comp_min_similarity,stat_addr1_length,stat_addr2_length,stat_length_diff,stat_length_ratio,stat_addr1_words,stat_addr2_words,stat_word_diff,stat_addr1_digits,stat_addr2_digits,stat_digits_match,interact_phase2_comp,interact_phase2_ner,interact_comp_ner,interact_all_three,interact_phase2_high,interact_comp_high,interact_ner_high,interact_all_high,interact_majority_high,interact_score_variance,interact_score_mean
"Estrada Municipal 561, Cogula, 6420-341","Estrada Municipal 561, Quintas da Torre, 6230-787",0,estrada municipal,561,Cogula,6420-341,estrada municipal 561 cogula 6420-341,estrada municipal,561,Quintas Da Torre,6230-787,estrada municipal 561 quintas da torre 6230-787,1.0,0.5,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.8796822225393653,0.5918367346938775,0.41379310344827586,0.6284373535605062,0.6823463892429409,1.0,True,1.0,True,0.4861111111111111,False,0.6833333333333332,False,0.8801276224749114,False,0.8099144133838712,1.0,0.4861111111111111,39,49,10,0.7959183673469388,5,7,2,10,10,1,0.7124673112321901,0.7330685187828044,0.6749286778198926,0.5937227593601584,1,1,1,1,1,0.001260702089431634,0.8409766564188567
"Rua da Paz, 38, Vendas de Azeitão","r paz da, 38, Vendas de Azeitão",1,rua paz,38,Vendas De Azeitao,,rua da paz 38 vendas de azeitao,rua paz,38,Vendas De Azeitao,,r paz da 38 vendas de azeitao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875366568914956,0.8181818181818181,0.7666666666666667,0.8200716845878135,0.8313196480938416,1.0,True,1.0,True,1.0,True,0.0,False,0.8565072302558399,False,0.771301446051168,1.0,0.0,33,31,2,0.9393939393939394,7,7,0,2,2,1,0.675171500428955,0.0,0.0,0.0,1,1,0,0,1,0.22866701674187007,0.5488893383220413
"Avenida Cidade Nova, 4, Vila Nova de Foz Côa, 5150-566","av cidade nova, 4, Vila Nova de Foz Côa, 5150-566",1,avenida cidade nova,4,Vila Nova De Foz Coa,5150-566,avenida cidade nova 4 vila nova de foz coa 5150-566,avenida cidade nova,4,Vila Nova De Foz Coa,5150-566,av cidade nova 4 vila nova de foz coa 5150-566,1.0,0.5,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,True,True,0.888233812043336,0.9074074074074074,0.9,0.8985470731502478,0.8955983875031495,1.0,True,1.0,True,1.0,True,1.0,True,0.8926967888604718,False,0.9785393577720944,1.0,0.8926967888604718,54,49,5,0.9074074074074074,10,10,0,8,8,1,0.8691717439883452,0.7401948433694466,0.8154494648100787,0.7243097866569543,1,1,1,1,1,0.005375657280877736,0.900035501049588
"Rua da Fonte Velha, 25, Cabeção, 7490-073","velha d afonte r, 25, Cabeção",1,rua fonte velha,25,Cabecao,7490-073,rua da fonte velha 25 cabecao 7490-073,velha d afonte r,25,Cabecao,,velha d afonte r 25 cabecao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7874964956546117,0.4878048780487805,0.5238095238095238,0.5997036325043053,0.6484520805799191,0.5972222222222222,False,1.0,True,1.0,True,0.0,False,0.767706302794022,False,0.6729857050032488,1.0,0.0,41,29,12,0.7073170731707317,7,6,1,9,2,0,0.5299738843157067,0.0,0.0,0.0,1,0,0,0,0,0.1810288684971023,0.4868274002192868
"Travessa Poço Da Nespereira, 2, Câmara de Lobos, 9325-327","Travessa Poco Nespereira, 5, Câmara de Lobos, 9325-327",0,travessa poco nespereira,2,Camara De Lobos,9325-327,travessa poco da nespereira 2 camara de lobos 9325-327,travessa poco nespereira,5,Camara De Lobos,9325-327,travessa poco nespereira 5 camara de lobos 9325-327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,True,True,0.9058179637127005,0.9122807017543859,0.8235294117647058,0.8805426924105975,0.8824239457366392,1.0,True,0.0,False,1.0,True,1.0,True,0.9212636165577341,False,0.7842527233115468,1.0,0.0,57,54,3,0.9473684210526315,9,8,1,8,8,1,0.7103902048662053,0.9058179637127005,0.7842527233115468,0.7103902048662053,1,1,1,1,1,0.01169920850524941,0.8966902290080824
"Rua 1º de Maio, 94, Benavila, 7480-225","Rua 1º de Maio, 94, Benavila",1,rua 1º maio,94,Benavila,7480-225,rua 1º de maio 94 benavila 7480-225,rua 1º maio,94,Benavila,,rua 1º de maio 94 benavila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526316,0.736842105263158,0.7428571428571429,0.8090225563909774,0.8439097744360903,1.0,True,1.0,True,1.0,True,0.0,False,0.9485714285714285,False,0.7897142857142857,1.0,0.0,38,28,10,0.7368421052631579,7,6,1,10,3,0,0.7481503759398497,0.0,0.0,0.0,1,1,0,0,1,0.25766840077637704,0.5790275689223058
"Rua Montepio Rainha Dona Leonor, Caldas da Rainha, 2500-253","Rua 31 de Janeiro, 32, Caldas da Rainha, 2500-118",0,rua montepio rainha dona leonor,,Caldas Da Rainha,2500-253,rua montepio rainha dona leonor caldas da rainha 2500-253,rua 31 janeiro,32,Caldas Da Rainha,2500-118,rua 31 de janeiro 32 caldas da rainha 2500-118,1.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,True,True,0.833858526461432,0.5932203389830508,0.39344262295081966,0.6068404961317675,0.6536061179125721,0.6226085742214774,False,0.0,False,1.0,True,0.85,False,0.8406559877955759,False,0.6626529124034107,1.0,0.0,59,49,10,0.8305084745762712,9,9,0,7,11,0,0.5525587810920845,0.416929263230716,0.33132645620170537,0.2762793905460422,1,0,0,0,0,0.02787147464821574,0.6655038129549475
"Estrada Limoeiro, 7, Câmara de Lobos, 9300-326","Estrada Limoeiro Casa d, CASA D, Câmara de Lobos, 9300-326",0,estrada limoeiro,7,Camara De Lobos,9300-326,estrada limoeiro 7 camara de lobos 9300-326,estrada limoeiro casa d,,Camara De Lobos,9300-326,estrada limoeiro casa d casa d camara de lobos 9300-326,1.0,0.3333333333333333,0.0,1.0,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,True,True,0.9063801432617025,0.7758620689655172,0.8222222222222222,0.8348214781498141,0.8550291520906212,0.9391304347826087,False,0.0,False,1.0,True,1.0,True,0.9099808718413369,False,0.7698222613247891,1.0,0.0,46,58,12,0.7931034482758621,7,10,3,8,7,0,0.6977516115056102,0.4028356192274233,0.3421432272554618,0.3101118273358267,1,1,0,0,1,0.056317228113117276,0.706882283010312
"Rua Doutor Manuel Fratel, 25, Alegrete, 7300-311","Rua Doutor Manuel Fratel, 25, Alegrete",1,rua doutor manuel fratel,25,Alegrete,7300-311,rua doutor manuel fratel 25 alegrete 7300-311,rua doutor manuel fratel,25,Alegrete,,rua doutor manuel fratel 25 alegrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333333333333,0.7916666666666666,0.7906976744186046,0.8468992248062016,0.8747093023255813,1.0,True,1.0,True,1.0,True,0.0,False,0.96,False,0.792,1.0,0.0,48,38,10,0.7916666666666666,7,6,1,9,2,0,0.759,0.0,0.0,0.0,1,1,0,0,1,0.26222225925925924,0.5834444444444444
"Rua da Estrela, 5, Falagueira, 6050-473","Rua da Estrela, 5, Falagueira",1,rua estrela,5,Falagueira,6050-473,rua da estrela 5 falagueira 6050-473,rua estrela,5,Falagueira,,rua da estrela 5 falagueira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9487179487179487,0.7435897435897436,0.7575757575757576,0.8166278166278166,0.8503496503496504,1.0,True,1.0,True,1.0,True,0.0,False,0.95,False,0.79,1.0,0.0,39,29,10,0.7435897435897436,6,5,1,8,1,0,0.7494871794871795,0.0,0.0,0.0,1,1,0,0,1,0.2582261889108043,0.5795726495726495
